ID,flag
1500001.0,1.0
1500321.0,1.0
1500395.0,1.0
1500614.0,1.0
1501057.0,1.0
1501449.0,1.0
1501967.0,1.0
1502041.0,1.0
1502067.0,1.0
1502243.0,1.0
1502280.0,1.0
1502584.0,1.0
1503006.0,1.0
1503369.0,1.0
1503926.0,1.0
1504434.0,1.0
1504745.0,1.0
1504813.0,1.0
1505021.0,1.0
1505078.0,1.0
1505225.0,1.0
1505270.0,1.0
1505351.0,1.0
1505369.0,1.0
1505753.0,1.0
1505911.0,1.0
1506083.0,1.0
1506159.0,1.0
1506268.0,1.0
1506529.0,1.0
1507545.0,1.0
1507705.0,1.0
1508078.0,1.0
1508300.0,1.0
1508378.0,1.0
1508639.0,1.0
1508716.0,1.0
1510382.0,1.0
1510583.0,1.0
1510832.0,1.0
1511001.0,1.0
1511006.0,1.0
1511038.0,1.0
1511071.0,1.0
1511327.0,1.0
1511390.0,1.0
1511633.0,1.0
1511944.0,1.0
1512286.0,1.0
1512414.0,1.0
1512644.0,1.0
1513238.0,1.0
1513300.0,1.0
1513319.0,1.0
1513491.0,1.0
1513523.0,1.0
1513543.0,1.0
1513612.0,1.0
1513771.0,1.0
1513846.0,1.0
1513913.0,1.0
1514073.0,1.0
1514287.0,1.0
1514456.0,1.0
1514859.0,1.0
1514971.0,1.0
1515386.0,1.0
1515632.0,1.0
1515769.0,1.0
1515839.0,1.0
1515871.0,1.0
1515919.0,1.0
1516400.0,1.0
1516606.0,1.0
1516732.0,1.0
1516743.0,1.0
1516890.0,1.0
1516993.0,1.0
1517061.0,1.0
1517125.0,1.0
1517424.0,1.0
1517776.0,1.0
1517809.0,1.0
1517844.0,1.0
1517864.0,1.0
1517886.0,1.0
1518087.0,1.0
1518318.0,1.0
1518425.0,1.0
1519109.0,1.0
1519114.0,1.0
1519252.0,1.0
1519515.0,1.0
1519586.0,1.0
1519595.0,1.0
1519760.0,1.0
1520230.0,1.0
1520235.0,1.0
1520882.0,1.0
1520907.0,1.0
1521133.0,1.0
1521202.0,1.0
1521636.0,1.0
1521892.0,1.0
1522023.0,1.0
1522152.0,1.0
1522375.0,1.0
1522430.0,1.0
1522507.0,1.0
1522618.0,1.0
1523136.0,1.0
1523287.0,1.0
1523583.0,1.0
1523804.0,1.0
1523906.0,1.0
1524414.0,1.0
1524478.0,1.0
1524505.0,1.0
1524619.0,1.0
1524724.0,1.0
1524900.0,1.0
1525188.0,1.0
1525366.0,1.0
1525478.0,1.0
1525939.0,1.0
1526009.0,1.0
1526225.0,1.0
1526718.0,1.0
1526808.0,1.0
1526853.0,1.0
1526953.0,1.0
1527101.0,1.0
1527896.0,1.0
1527897.0,1.0
1527962.0,1.0
1528324.0,1.0
1528326.0,1.0
1528739.0,1.0
1528976.0,1.0
1529280.0,1.0
1529359.0,1.0
1529596.0,1.0
1529945.0,1.0
1530029.0,1.0
1530553.0,1.0
1530732.0,1.0
1530777.0,1.0
1530981.0,1.0
1531028.0,1.0
1531103.0,1.0
1531354.0,1.0
1531382.0,1.0
1531823.0,1.0
1531870.0,1.0
1531975.0,1.0
1532103.0,1.0
1532325.0,1.0
1532387.0,1.0
1532409.0,1.0
1532743.0,1.0
1532784.0,1.0
1532937.0,1.0
1533285.0,1.0
1533388.0,1.0
1533480.0,1.0
1533776.0,1.0
1534034.0,1.0
1534531.0,1.0
1534705.0,1.0
1535213.0,1.0
1535816.0,1.0
1536051.0,1.0
1536142.0,1.0
1536192.0,1.0
1536728.0,1.0
1537229.0,1.0
1537333.0,1.0
1537540.0,1.0
1537612.0,1.0
1537739.0,1.0
